

2024-08-23 21:03:22.827718
21:03:222024-08-23 21:03:24,255 - __main__ - DEBUG - [envy.py:57] - choosing role
2024-08-23 21:05:19,311 - __main__ - DEBUG - [plugin.py:159] - eHoudini: 00:00:01   313MB         | [rop_operators] Registering operators ...
2024-08-23 21:05:19,312 - __main__ - DEBUG - [plugin.py:159] - eHoudini: 00:00:01   313MB         | [rop_operators] operator registration done.
2024-08-23 21:05:21,094 - __main__ - DEBUG - [plugin.py:159] - eHoudini: 00:00:03   359MB         | [vop_shaders] Registering shaders ...
2024-08-23 21:05:21,107 - __main__ - DEBUG - [plugin.py:159] - eHoudini: 00:00:03   363MB         | [vop_shaders] shader registration done.
2024-08-23 21:05:21,107 - __main__ - DEBUG - [plugin.py:159] - eHoudini: 00:00:03   363MB         | [vop_imagers] Registering imagers ...
2024-08-23 21:05:21,109 - __main__ - DEBUG - [plugin.py:159] - eHoudini: 00:00:03   363MB         | [vop_imagers] imager registration done.
2024-08-23 21:05:21,109 - __main__ - DEBUG - [plugin.py:159] - eHoudini: 00:00:03   363MB         | [htoa_op] USD shader translation registration
2024-08-23 21:05:21,799 - __main__ - DEBUG - [plugin.py:159] - eHoudini: 00:00:04   379MB         | [htoa_op] End registration.
2024-08-23 21:05:21,800 - __main__ - DEBUG - [plugin.py:159] - eHoudini: 00:00:04   379MB         |
2024-08-23 21:05:21,800 - __main__ - DEBUG - [plugin.py:159] - eHoudini: 00:00:04   379MB         | releasing resources
2024-08-23 21:05:21,803 - __main__ - DEBUG - [plugin.py:159] - eHoudini: 00:00:04   363MB         | Arnold shutdown
2024-08-23 21:05:32,562 - __main__ - DEBUG - [plugin.py:159] - eHoudini: $ENVY:NEWSTARTFRAME=3
2024-08-23 21:05:32,562 - __main__ - DEBUG - [plugin.py:159] - eHoudini: 1021
2024-08-23 21:05:32,563 - __main__ - DEBUG - [plugin.py:159] - eHoudini: Set parameter: /obj/billowy_smoke/smoke_sim/f1 -> 1021
2024-08-23 21:05:32,563 - __main__ - DEBUG - [plugin.py:159] - eHoudini: 1100
2024-08-23 21:05:32,563 - __main__ - DEBUG - [plugin.py:159] - eHoudini: Set parameter: /obj/billowy_smoke/smoke_sim/f2 -> 1100
2024-08-23 21:05:32,564 - __main__ - DEBUG - [plugin.py:159] - eHoudini: 1100
2024-08-23 21:05:32,564 - __main__ - DEBUG - [plugin.py:159] - eHoudini: Set parameter: /obj/billowy_smoke/smoke_sim/f2 -> 1100
2024-08-23 21:05:32,564 - __main__ - DEBUG - [plugin.py:159] - eHoudini: 2.0
2024-08-23 21:05:32,620 - __main__ - DEBUG - [plugin.py:159] - eHoudini: Set parameter: /obj/billowy_smoke/smoke_sim/NVversion -> 2.0
2024-08-23 21:05:32,620 - __main__ - DEBUG - [plugin.py:159] - eHoudini: 1.0
2024-08-23 21:05:32,621 - __main__ - DEBUG - [plugin.py:159] - eHoudini: Set parameter: /obj/billowy_smoke/smoke_sim/substeps -> 1.0
2024-08-23 21:05:33,071 - __main__ - DEBUG - [plugin.py:159] - eHoudini: ALF_PROGRESS 0%
2024-08-23 21:05:33,072 - __main__ - DEBUG - [plugin.py:159] - eHoudini: FINISHED
2024-08-23 21:05:35,590 - __main__ - DEBUG - [plugin.py:159] - eHoudini: ALF_PROGRESS 1%
2024-08-23 21:05:35,590 - __main__ - DEBUG - [plugin.py:159] - eHoudini: FINISHED
2024-08-23 21:05:36,020 - __main__ - DEBUG - [plugin.py:159] - eHoudini: ALF_PROGRESS 3%
2024-08-23 21:05:36,020 - __main__ - DEBUG - [plugin.py:159] - eHoudini: FINISHED
2024-08-23 21:05:36,319 - __main__ - DEBUG - [plugin.py:159] - eHoudini: ALF_PROGRESS 4%
2024-08-23 21:05:36,320 - __main__ - DEBUG - [plugin.py:159] - eHoudini: FINISHED
2024-08-23 21:05:36,428 - __main__ - DEBUG - [client.py:116] - sending message to server: (finish_task(): 924)
2024-08-23 21:05:36,490 - __main__ - DEBUG - [client.py:116] - sending message to server: (start_task(): 925)
2024-08-23 21:05:37,009 - __main__ - DEBUG - [plugin.py:159] - eHoudini: ALF_PROGRESS 5%
2024-08-23 21:05:37,010 - __main__ - DEBUG - [plugin.py:159] - eHoudini: FINISHED
2024-08-23 21:05:37,103 - __main__ - DEBUG - [client.py:116] - sending message to server: (finish_task(): 925)
2024-08-23 21:05:37,162 - __main__ - DEBUG - [client.py:116] - sending message to server: (start_task(): 926)
2024-08-23 21:05:37,408 - __main__ - DEBUG - [plugin.py:159] - eHoudini: ALF_PROGRESS 6%
2024-08-23 21:05:37,408 - __main__ - DEBUG - [plugin.py:159] - eHoudini: FINISHED
2024-08-23 21:05:37,434 - __main__ - DEBUG - [client.py:116] - sending message to server: (finish_task(): 926)
2024-08-23 21:05:37,496 - __main__ - DEBUG - [client.py:116] - sending message to server: (start_task(): 927)
2024-08-23 21:05:37,764 - __main__ - DEBUG - [plugin.py:159] - eHoudini: ALF_PROGRESS 8%
2024-08-23 21:05:37,764 - __main__ - DEBUG - [plugin.py:159] - eHoudini: FINISHED
2024-08-23 21:05:37,876 - __main__ - DEBUG - [client.py:116] - sending message to server: (finish_task(): 927)
2024-08-23 21:05:37,955 - __main__ - DEBUG - [client.py:116] - sending message to server: (start_task(): 928)
2024-08-23 21:05:38,121 - __main__ - DEBUG - [plugin.py:159] - eHoudini: ALF_PROGRESS 9%
2024-08-23 21:05:38,122 - __main__ - DEBUG - [plugin.py:159] - eHoudini: FINISHED
2024-08-23 21:05:38,225 - __main__ - DEBUG - [client.py:116] - sending message to server: (finish_task(): 928)
2024-08-23 21:05:38,291 - __main__ - DEBUG - [client.py:116] - sending message to server: (start_task(): 929)
2024-08-23 21:05:38,488 - __main__ - DEBUG - [plugin.py:159] - eHoudini: ALF_PROGRESS 10%
2024-08-23 21:05:38,488 - __main__ - DEBUG - [plugin.py:159] - eHoudini: FINISHED
2024-08-23 21:05:38,559 - __main__ - DEBUG - [client.py:116] - sending message to server: (finish_task(): 929)
2024-08-23 21:05:38,624 - __main__ - DEBUG - [client.py:116] - sending message to server: (start_task(): 930)
2024-08-23 21:05:39,334 - __main__ - DEBUG - [plugin.py:159] - eHoudini: ALF_PROGRESS 11%
2024-08-23 21:05:39,335 - __main__ - DEBUG - [plugin.py:159] - eHoudini: FINISHED
2024-08-23 21:05:39,441 - __main__ - DEBUG - [client.py:116] - sending message to server: (finish_task(): 930)
2024-08-23 21:05:39,505 - __main__ - DEBUG - [client.py:116] - sending message to server: (start_task(): 931)
2024-08-23 21:05:39,725 - __main__ - DEBUG - [plugin.py:159] - eHoudini: ALF_PROGRESS 13%
2024-08-23 21:05:39,725 - __main__ - DEBUG - [plugin.py:159] - eHoudini: FINISHED
2024-08-23 21:05:39,793 - __main__ - DEBUG - [client.py:116] - sending message to server: (finish_task(): 931)
2024-08-23 21:05:39,856 - __main__ - DEBUG - [client.py:116] - sending message to server: (start_task(): 932)
2024-08-23 21:05:40,122 - __main__ - DEBUG - [plugin.py:159] - eHoudini: ALF_PROGRESS 14%
